,FMID,MarketName,Website,Facebook,Twitter,Youtube,OtherMedia,street,city,County,State,zip,Season1Date,Season1Time,Season2Date,Season2Time,Season3Date,Season3Time,Season4Date,Season4Time,x,y,Location,Credit,WIC,WICcash,SFMNP,SNAP,Organic,Bakedgoods,Cheese,Crafts,Flowers,Eggs,Seafood,Herbs,Vegetables,Honey,Jams,Maple,Meat,Nursery,Nuts,Plants,Poultry,Prepared,Soap,Trees,Wine,Coffee,Beans,Fruits,Grains,Juices,Mushrooms,PetFood,Tofu,WildHarvested,updateTime,updateTimeStamp,updateYear,address,geolatitude,geolongitude,latitude,longitude
1727,1012365,Crossroads Farmers Market,https://www.crossroadscommunityfoodnetwork.org/farmers-market/,https://www.facebook.com/CrossroadsFarmersMarket/,@CrossroadsNtwk,https://www.youtube.com/channel/UCm23V5zJ2FZV7vC57i8OASQ,Instagram: @CrossroadsNtwk,Anne St. at University Blvd. E,Takoma Park,Montgomery,Maryland,20912,06/01/2016 to 11/16/2016,Wed: 11:00 AM-3:00 PM;,,,,,,,-76.990169,38.990479,,Y,Y,Y,Y,Y,N,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,N,N,Y,N,Y,N,N,N,Y,N,Y,N,Y,Y,N,N,N,7/8/16 14:31,2016-07-08 14:31:00,2016,"Anne St. at University Blvd. E, Takoma Park, Maryland 20912",,,38.990479,-76.990169
1728,1016899,Crossroads Farmers Market,http://crossroadsfarmersmarket@gmail.com,CrossroadsFarmersMarket,,,,111 West C Street,Shoshone ,Lincoln,Idaho,83352,06/16/2017 to 10/13/2017,Fri: 2:00 PM-6:00 PM;,,,,,,,-114.4085896,42.932936299999994,,Y,N,N,N,Y,N,Y,N,Y,N,Y,N,N,Y,Y,Y,N,N,N,N,N,N,Y,Y,N,N,N,N,Y,N,N,N,N,N,N,4/4/17 1:53,2017-04-04 01:53:00,2017,"111 West C Street, Shoshone , Idaho 83352",42.93290002040816,-114.40874775510204,42.93290002040816,-114.40874775510204
1729,1008846,Crossroads Farmers Market: A Project of Mississippi Delta Council,http://crossroadsfarmersmarket.org,https://www.facebook.com/CrossroadsFamersMarket,https://twitter.com/MDCXRoadsMarket,,,1536 Desoto Ave ,Clarksdale ,Coahoma,Mississippi,38614,07/20/2013 to 11/09/2013,Sat: 7:00 AM-1:00 PM;,,,,,,,-90.555756,34.178923,Private business parking lot,Y,N,N,N,Y,-,N,Y,N,N,Y,N,Y,Y,N,Y,N,Y,N,Y,Y,N,Y,Y,N,N,N,N,Y,N,N,N,N,N,N,3/31/14 22:29,2014-03-31 22:29:00,2014,"1536 Desoto Ave , Clarksdale , Mississippi 38614",34.2002583,-90.5670752,34.2002583,-90.5670752
1730,1004447,Crosstown Freeway Farmers' Market,http://www.stocktonfarmersmarket.org,,,,,203 E. Washington Street,Stockton,San Joaquin,California,95202,January to December,Sat:6:30 AM - 11:00 AM;,,,,,,,-121.287228,37.950864,Private business parking lot,N,Y,N,Y,Y,Y,Y,N,N,N,Y,Y,Y,Y,Y,N,N,N,N,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,4/30/12 12:38,2012-04-30 12:38:00,2012,"203 E. Washington Street, Stockton, California 95202",37.9512706,-121.28772502716612,37.9512706,-121.28772502716612
1731,1001674,Crouch Farmers Market,,,,,,The Merc Parking Lot,Crouch,Boise,Idaho,83602,June to October,Sat:9:00 am - 12:00 pm;,,,,,,,-115.97,44.1135,Private business parking lot,N,N,N,N,N,N,Y,N,Y,Y,N,N,Y,Y,Y,Y,N,Y,N,N,Y,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,4/13/11 15:54,2011-04-13 15:54:00,2011,"The Merc Parking Lot, Crouch, Idaho 83602",,,44.1135,-115.97
1732,1003438,Crown Point Farmers Market,http://www.crownpoint.in.gov,,,,,South Main Street,Crown Point,Lake,Indiana,46307,,,,,,,,,-87.3647,41.4155,,N,N,N,N,N,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,May 10 2010  3:18PM,2010-05-10 15:18:00,2010,"South Main Street, Crown Point, Indiana 46307",41.4175635,-87.3643285,41.4175635,-87.3643285
1733,1008522,Crown Valley Champagne,http://www.crownvalleyfarmersmarket.posterous.com,,,,http://agrimissouri.com/mo-grown/grodetail.php?type=mo-grown&ID=98,23589 State Route WW,Ste. Genevieve,Ste. Genevieve,Missouri,63670,,,,,,,,,-90.179753,37.778019,"On a farm from: a barn, a greenhouse, a tent, a stand, etc",Y,N,N,N,N,-,N,N,N,N,N,N,N,Y,Y,Y,N,Y,N,N,N,N,N,N,N,Y,N,N,Y,N,N,N,N,N,N,6/26/13 9:46,2013-06-26 09:46:00,2013,"23589 State Route WW, Ste. Genevieve, Missouri 63670",,,37.778019,-90.179753
1734,1005792,Crozet Farmers Market,,,,,,Corner of Jarmans Gap Rd. & Crozet Ave.,Crozet,Albemarle,Virginia,22932,,,,,,,,,-78.7019,38.068000000000005,,N,N,N,N,N,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009,2009-01-01 00:00:00,2009,"Corner of Jarmans Gap Rd. & Crozet Ave., Crozet, Virginia 22932",,,38.068000000000005,-78.7019
1735,1010708,Crystal City Farmers Market,http://agrimissouri.com/mo-grown/grodetail.php?type=mo-grown&ID=337,,,,,105 Bailey Rd,Crystal City,Jefferson,Missouri,63019,05/06/2015 to 10/28/2015,Wed: 4:00 PM-7:00 PM;,,,,,,,-90.3786887,38.218722799999995,,Y,N,N,N,N,-,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,10/28/14 15:12,2014-10-28 15:12:00,2014,"105 Bailey Rd, Crystal City, Missouri 63019",38.218657905549186,-90.37914130534185,38.218657905549186,-90.37914130534185
1736,1006686,Crystal Falsh Energy Farmers Market,,,,,,"1754 Alpine Avenue, N.W.",Grand Rapids,Kent,Michigan,49504,,,,,,,,,-85.6884,42.9957,,N,N,N,N,N,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009,2009-01-01 00:00:00,2009,"1754 Alpine Avenue, N.W., Grand Rapids, Michigan 49504",,,42.9957,-85.6884
1737,1001223,Crystal Farmers Market,,,,,,831 S. Main Street parking lot,Crystal,Montcalm,Michigan,48818,,,,,,,,,-84.9149,43.2581,,N,N,N,N,N,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009,2009-01-01 00:00:00,2009,"831 S. Main Street parking lot, Crystal, Michigan 48818",,,43.2581,-84.9149
1738,1001869,Crystal Lake Farmers Market,http://www.downtowncl.org,www.facebook.com/CrystalLakeFarmersMarket,,,,"Depot Park, Woodstock & Williams Streets",Crystal Lake,McHenry,Illinois,60014,06/04/2016 to 10/15/2016,Sat: 8:00 AM-1:00 PM;,,,,,,,-88.31701,42.243752,,Y,Y,Y,N,N,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,Y,Y,Y,N,Y,N,N,N,Y,Y,N,Y,N,N,N,6/29/16 13:25,2016-06-29 13:25:00,2016,"Depot Park, Woodstock & Williams Streets, Crystal Lake, Illinois 60014",,,42.243752,-88.31701
1739,1001005,Crystal Springs Farmers Market,http://crystalspringstomatofestival.blogspot.com,,,,,West Railroad Ave,Crystal Springs,Copiah,Mississippi,39059,06/29/2013 to 06/29/2013,Sun: 8:00 AM-3:00 PM;,,,,,,,-90.358772,31.987521,Closed-off public street,N,N,N,N,N,-,N,Y,N,Y,N,N,Y,Y,Y,Y,N,N,N,N,Y,N,Y,N,Y,N,N,N,Y,N,N,N,N,N,N,6/11/13 11:41,2013-06-11 11:41:00,2013,"West Railroad Ave, Crystal Springs, Mississippi 39059",,,31.987521,-90.358772
1740,1002293,CSA Farmers Market,http://www.csafarmersmarket.com,,,,,2933 Burnside Rd.,North Branch,Lapeer,Michigan,48461,01/01/2013 to 12/31/2013,,,,,,,,-83.23636673,43.20661001,"On a farm from: a barn, a greenhouse, a tent, a stand, etc",N,N,N,N,Y,Y,Y,Y,N,N,Y,N,Y,Y,Y,N,Y,Y,N,N,N,Y,Y,Y,N,N,N,N,Y,N,N,N,N,N,N,6/29/13 12:27,2013-06-29 12:27:00,2013,"2933 Burnside Rd., North Branch, Michigan 48461",,,43.20661001,-83.23636673
1741,1006861,"Cuba, New Mexico Farmers Market",,,,,,NM 126 St. Francis of Assisi Park,Cuba,Sandoval,New Mexico,87013,May to October,Sat:9:00 AM - 12:00 PM;,,,,,,,-106.9584,36.022220000000004,Federal/State government building grounds,N,Y,Y,Y,Y,-,Y,N,Y,Y,Y,N,Y,Y,Y,N,N,N,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,4/30/12 15:13,2012-04-30 15:13:00,2012,"NM 126 St. Francis of Assisi Park, Cuba, New Mexico 87013",,,36.022220000000004,-106.9584
1742,1007201,Cudahy Farmers Market,,,,,,4700 South Packard Avenues (Municipal parking lot),Cudahy,Milwaukee,Wisconsin,53110,,,,,,,,,-87.9163,43.0376,,N,N,N,N,N,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009,2009-01-01 00:00:00,2009,"4700 South Packard Avenues (Municipal parking lot), Cudahy, Wisconsin 53110",,,43.0376,-87.9163
1743,1007146,Cuero Farmers Market,,,,,,Cuero City Park Entrance,Cuero,Dewitt,Texas,77954,,,,,,,,,-97.1686,28.9695,,N,N,N,N,N,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009,2009-01-01 00:00:00,2009,"Cuero City Park Entrance, Cuero, Texas 77954",,,28.9695,-97.1686
1744,1003606,CUIVRE RIVER FARMERS MARKET,http://www.cuivreriverfarmersmarket.org,https://www.facebook.com/CuivreRiverFarmersMarket,,,,170 Market Place Drive,TROY,Lincoln,Missouri,63379,05/07/2016 to 10/29/2016,Sat: 9:00 AM-1:00 PM;,,,,,,,-90.97203329999999,38.988586,,Y,N,N,N,N,Y,Y,N,Y,Y,Y,N,Y,Y,Y,Y,Y,N,N,Y,Y,N,Y,Y,Y,N,Y,N,Y,N,N,Y,N,N,Y,6/27/16 13:26,2016-06-27 13:26:00,2016,"170 Market Place Drive, TROY, Missouri 63379",38.9890648,-90.9721224,38.9890648,-90.9721224
1745,1003892,Culinary Kids Farmers Market I,http://www.culinarykidsdaycamp.org,https://www.facebook.com/pages/Culinary-Kids-Day-Camp/123734797690303,https://twitter.com/Culinary_Kids,Culinary Kidz,Instagram: Culinary Kids Farms,30-15 Seagirt Blvd. and Beach 31st St.,Queens,Queens,New York,11691,07/05/2014 to 09/27/2014,Sat: 10:00 AM-3:00 PM;,,,,,,,-73.547802,40.819525,"On a farm from: a barn, a greenhouse, a tent, a stand, etc",Y,Y,Y,Y,Y,-,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,6/28/14 6:54,2014-06-28 06:54:00,2014,"30-15 Seagirt Blvd. and Beach 31st St., Queens, New York 11691",,,40.819525,-73.547802
1746,1002327,Culinary Kids Farmers Market II,,,,,,Beach 58th Street & Beach Channel Drive,Bronx,Queens,New York,10468,,,,,,,,,-73.7885,40.5947,,N,N,N,N,N,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011,2011-01-01 00:00:00,2011,"Beach 58th Street & Beach Channel Drive, Bronx, New York 10468",,,40.5947,-73.7885
1747,1005624,Culpeper Farmers Market,,,,,,"E. Main St. & Commerce St.,Adjacent to train depot",Culpeper,Culpeper,Virginia,22701,,,,,,,,,-77.9969,38.4714,,N,N,N,N,N,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009,2009-01-01 00:00:00,2009,"E. Main St. & Commerce St.,Adjacent to train depot, Culpeper, Virginia 22701",,,38.4714,-77.9969
1748,1005403,Culver City Farmers Market,http://www.farmernet.com,,,,,Main & Culver,Culver City,Los Angeles,California,90232,,,,,,,,,-118.396,34.0247,,N,N,N,N,N,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009,2009-01-01 00:00:00,2009,"Main & Culver, Culver City, California 90232",34.015117989397375,-118.3958960664355,34.015117989397375,-118.3958960664355
1749,1017926,Culver Farmers' Market,,@culverfarmersmarket,,,instagram: @culverfarmersmarket,"819 East Lake Shore Drive, Culver, IN 46511 (Town Park)",Culver,Marshall,Indiana,46511,05/13/2017 to 10/21/2017,Sat: 9:00 AM-1:00 PM;,05/30/2017 to 08/29/2017,Tue: 5:00 PM-7:00 PM;,,,,,-86.4165272,41.2193604,,Y,N,N,N,N,-,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,N,N,N,N,Y,Y,Y,Y,N,N,N,N,Y,N,N,N,N,N,Y,4/25/17 13:17,2017-04-25 13:17:00,2017,"819 East Lake Shore Drive, Culver, IN 46511 (Town Park), Culver, Indiana 46511",,,41.2193604,-86.4165272
1750,1005687,Cumberland County Farmers Market,,,,,,Highway 70,Crossville,Cumberland,Tennessee,38557,,,,,,,,,-84.9026,35.9677,,N,N,N,N,N,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009,2009-01-01 00:00:00,2009,"Highway 70, Crossville, Tennessee 38557",,,35.9677,-84.9026
1751,1009750,Cumberland Farmers Market,http://www.cumberlandfarmersmarketassociation.org,https://www.facebook.com/pages/Cumberland-Farmers-Market-Association-CFMA/198538805238?ref=br_tf,,,,Tuttle Road ,Falmouth ,Cumberland,Maine,,05/17/2014 to ,Sat: 9:00 AM-12:00 PM;,,,,,,,-70.234306,43.721000000000004,,Y,N,N,N,N,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4/4/14 12:38,2014-04-04 12:38:00,2014,,46.3144754,11.0480288,43.721000000000004,-70.234306
1752,1002821,Cumberland Farmers Market,http://www.cumberland-wisconsin.com,,,,,,Cumberland,Barron,Wisconsin,54829,07/26/2014 to 09/27/2014,Sat: 8:00 AM-12:00 PM;,,,,,,,-92.022534,45.533691,Private business parking lot,N,Y,N,N,N,-,Y,Y,N,Y,N,N,Y,Y,Y,Y,Y,N,N,N,Y,N,Y,Y,N,N,N,N,Y,N,N,N,N,N,N,4/28/14 12:13,2014-04-28 12:13:00,2014,,46.3144754,11.0480288,45.533691,-92.022534
1753,1018367,Cumberland Farmers Market,http://www.town.cumberland.in.us/government/departments/farmers_market/index.php,https://www.facebook.com/CumberlandINFM/?ref=br_rs,,,,11501 E Washington Street,Cumberland,Marion,Indiana,46229,05/06/2017 to 10/28/2017,Sat: 8:00 AM-12:00 PM;,,,,,,,-85.960788,39.776008000000004,,Y,Y,N,Y,N,N,Y,Y,Y,N,Y,N,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,N,Y,N,N,Y,N,Y,N,N,N,Y,N,N,6/23/17 11:31,2017-06-23 11:31:00,2017,"11501 E Washington Street, Cumberland, Indiana 46229",39.77622159648737,-85.96082359314298,39.77622159648737,-85.96082359314298
1754,1003647,CUMC FARMERS MARKET,,,,,,6101 GRELOT RD,MOBILE,MOBILE,Alabama,36609,,,,,,,,,-88.186,30.660999999999998,,N,N,N,N,N,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011,2011-01-01 00:00:00,2011,"6101 GRELOT RD, MOBILE, Alabama 36609",30.66105,-88.190828,30.66105,-88.190828
1755,1012001,Cummins Farmer's Market,,,,,,500 Jackson St.,Columbus,Bartholomew,Indiana,47201,06/08/2016 to 10/12/2016,Wed: 3:00 PM-5:30 PM;,,,,,,,-85.92222,39.2037,,Y,N,N,N,Y,N,Y,Y,N,Y,Y,N,Y,Y,N,Y,N,Y,N,N,N,Y,N,N,N,N,N,N,Y,N,N,Y,Y,N,N,6/7/16 14:54,2016-06-07 14:54:00,2016,"500 Jackson St., Columbus, Indiana 47201",39.2039719,-85.9228837,39.2039719,-85.9228837
1756,1003650,Curtis Farmers Market,,,,,,Highway 231 & Center Avenue,Curtis,Frontier,Nebraska,69025,,,,,,,,,-100.515,40.6311,,N,N,N,N,N,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009,2009-01-01 00:00:00,2009,"Highway 231 & Center Avenue, Curtis, Nebraska 69025",,,40.6311,-100.515
1757,1001743,Cushing Farmers Market,http://www.downtowncushing.com,,,,,Northwest corner of Braodway & Cleveland,Cushing,Payne,Oklahoma,74023,,,,,,,,,-96.7727,35.98,,N,N,N,N,N,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009,2009-01-01 00:00:00,2009,"Northwest corner of Braodway & Cleveland, Cushing, Oklahoma 74023",,,35.98,-96.7727
1758,1001426,Custer Farmers Market,,,,,,Mt Rushmore Rd,Custer City,Custer,South Dakota,57730,06/07/2014 to 10/11/2014,Sat: 8:00 AM-12:30 PM;,,,,,,,-103.60143000000001,43.765621,Other,N,N,N,N,N,N,Y,N,Y,N,N,N,Y,Y,Y,Y,N,N,N,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N,3/15/14 23:58,2014-03-15 23:58:00,2014,"Mt Rushmore Rd, Custer City, South Dakota 57730",43.7674597,-103.5957116,43.7674597,-103.5957116
1759,1009889,Cuyahoga Falls Farmers' Market (Farmers' Market in the Falls),http://cfo.cityofcf.com/web/parks-and-recreation/farmers-market-falls,,,,,1201 Grant Avenue,Cuyahoga Falls,Summit,Ohio,44223,06/20/2014 to 10/03/2014,Fri: 3:00 PM-6:00 PM;,,,,,,,-81.49769,41.12785,Local government building grounds,N,N,N,N,N,-,Y,N,N,Y,Y,N,Y,Y,Y,Y,Y,N,N,N,N,Y,Y,Y,N,N,Y,N,Y,N,N,N,Y,N,Y,4/9/14 21:19,2014-04-09 21:19:00,2014,"1201 Grant Avenue, Cuyahoga Falls, Ohio 44223",41.126709,-81.505677,41.126709,-81.505677
1760,1006504,Cynthiana-Harrison County Farmers' Market,,https://www.facebook.com/chfmky,,,,"Flat Run Veterans Park, Oddville Ave",Cynthiana,Harrison,Kentucky,41031,05/02/2015 to 09/26/2015,Tue: 9:00 AM-1:00 PM;Fri: 9:00 AM-1:00 PM;Sat: 9:00 AM-1:00 PM;,,,,,,,-84.286594,38.394415,,Y,Y,N,Y,N,N,Y,N,Y,N,Y,N,Y,Y,Y,Y,N,N,N,Y,Y,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N,3/21/15 9:16,2015-03-21 09:16:00,2015,"Flat Run Veterans Park, Oddville Ave, Cynthiana, Kentucky 41031",,,38.394415,-84.286594
1761,1004723,Cypress Center Farmers' Market,,,,,,"50 E. Hospital St., Ste. 5",Manning,Clarendon,South Carolina,29102,05/08/2013 to 10/30/2013,Wed: 2:00 PM-5:30 PM;,,,,,,,-80.211023,33.687152000000005,Healthcare Institution,Y,Y,Y,Y,N,Y,N,N,N,N,N,N,Y,Y,Y,N,N,N,N,Y,N,N,N,Y,N,N,N,Y,Y,N,Y,N,N,N,Y,4/1/14 8:41,2014-04-01 08:41:00,2014,"50 E. Hospital St., Ste. 5, Manning, South Carolina 29102",,,33.687152000000005,-80.211023
1762,1008921,Cypress Hills YM,http://www.grownyc.org,https://www.facebook.com/BrooklynGreenmarkets,,,,Fulton St btwn Richmond and Logan,Brooklyn,New York,New York,11207,07/12/2013 to 11/22/2013,Fri: 2:00 PM-6:00 PM;,,,,,,,-73.95,40.65,Other,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,Y,N,Y,N,N,N,N,Y,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,3/5/14 15:14,2014-03-05 15:14:00,2014,"Fulton St btwn Richmond and Logan, Brooklyn, New York 11207",,,40.65,-73.95
1763,1005689,D'Iberville Farmers Market,,,,,,10383 Automall Parkway,D'Iberville,Harrison,Mississippi,39540,,,,,,,,,-88.9003,30.4341,,N,N,N,N,N,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009,2009-01-01 00:00:00,2009,"10383 Automall Parkway, D'Iberville, Mississippi 39540",,,30.4341,-88.9003
1764,1000069,Dag Hammarskjold Plaza Greenmarket,http://www.grownyc.org,https://www.facebook.com/ManhattanGreenmarkets,,,,E 47 St & 2 Ave,New York,New York,New York,10017,01/01/2013 to 12/31/2013,Wed: 8:00 AM-4:00 PM;,,,,,,,-73.9698797,40.7529921,Other,Y,Y,Y,Y,Y,N,Y,Y,N,N,Y,N,N,Y,N,N,N,Y,N,N,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,7/24/13 10:20,2013-07-24 10:20:00,2013,"E 47 St & 2 Ave, New York, New York 10017",,,40.7529921,-73.9698797
1765,1009476,Dag Hammerskjold Plaza Greenmarket ,http://www.grownyc.org/greenmarket-site/manhattan/dag-hammarskjold-greenmarket,,,,,47th Street at Second Ave,Manhattan ,,New York,10017,,,,,,,,,-73.9699,40.753,,Y,N,N,N,N,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013,2013-01-01 00:00:00,2013,"47th Street at Second Ave, Manhattan , New York 10017",,,40.753,-73.9699
1766,1004545,Dahlonega Farmers Market,http://www.dahlonegadda.org,https://www.facebook.com/DahlonegaFarmersMarket,,,,Hancock Park,Dahlonega,Lumpkin,Georgia,30533,05/03/2014 to 10/11/2014,Tue: 8:00 AM-12:00 PM;Sat: 8:00 AM-12:00 PM;,,,,,,,-83.985219,34.533726,Local government building grounds,N,N,N,N,N,-,Y,N,N,Y,Y,N,Y,Y,Y,Y,N,N,N,N,Y,N,Y,N,Y,N,Y,Y,Y,Y,N,N,N,N,N,3/31/14 21:47,2014-03-31 21:47:00,2014,"Hancock Park, Dahlonega, Georgia 30533",34.53389945,-83.98508705361506,34.53389945,-83.98508705361506
1767,1009167,Daily Harvest Market ,http://www.dailyharvestmarket.com/,,,,,155 Quail Gardens Dr.,Encinitas,,California,92024,,,,,,,,,-117.279,33.0489,,Y,N,N,N,N,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013,2013-01-01 00:00:00,2013,"155 Quail Gardens Dr., Encinitas, California 92024",33.04919091717982,-117.27939024502088,33.04919091717982,-117.27939024502088
1768,1002148,Dairymel Farms,,,,,,1803 Hazelton-Etna Road,Pataskala,Licking,Ohio,,,,,,,,,,-82.6723,40.007,,N,N,N,N,N,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009,2009-01-01 00:00:00,2009,,46.3144754,11.0480288,40.007,-82.6723
1769,1010752,Dakotah's Indoor Farmers Market,,www.facebook.com/dakotahsfarmersmarket,,,,631 N. Midlothian,Mundelein,Lake,Illinois,60060,11/08/2014 to 03/28/2015,Sat: 9:00 AM-3:00 PM;,,,,,,,-88.01785799999999,42.274710999999996,,Y,N,N,N,N,Y,Y,Y,N,Y,Y,N,Y,N,Y,Y,N,Y,N,N,N,Y,Y,N,N,N,N,N,Y,N,Y,Y,N,N,N,12/29/14 18:33,2014-12-29 18:33:00,2014,"631 N. Midlothian, Mundelein, Illinois 60060",42.274435409538675,-88.01872627675114,42.274435409538675,-88.01872627675114
1770,1001717,Dale City Farmers Market,http://www.pwcparks.org/farmersmarket/,,,,,14090 Gemini Way,Dale City,Prince William,Virginia,22193,04/06/2014 to 12/07/2014,Sun: 8:00 AM-1:00 PM;,12/14/2014 to 03/29/2015,Sun: 10:00 AM-1:00 PM;,,,,,-77.34107940000001,38.6471464,Federal/State government building grounds,Y,N,N,N,N,-,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,N,Y,N,Y,Y,Y,Y,Y,Y,N,Y,N,Y,Y,Y,N,N,N,N,4/8/14 16:23,2014-04-08 16:23:00,2014,"14090 Gemini Way, Dale City, Virginia 22193",38.6481886,-77.3411518,38.6481886,-77.3411518
1771,1003695,Dale's Saturday Market,,,,,,1296 Kennedy-Ford Road,Potlatch,Latah,Idaho,,,,,,,,,,-116.965,46.9223,,N,N,N,N,N,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009,2009-01-01 00:00:00,2009,,46.3144754,11.0480288,46.9223,-116.965
1772,1018188,Daleville Farmer's Market,,,,,,Corner of Daleville Avenue and Hwy 134,Daleville,Dale,Alabama,36322,06/01/2017 to 07/27/2017,Thu: 2:00 PM-5:30 PM;,,,,,,,-85.714656,31.307349,,Y,N,N,Y,N,Y,Y,N,N,N,Y,N,N,Y,Y,Y,N,Y,N,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N,6/20/17 14:39,2017-06-20 14:39:00,2017,"Corner of Daleville Avenue and Hwy 134, Daleville, Alabama 36322",,,31.307349,-85.714656
1773,1002493,Daley Plaza Chicago Farmers Market,http://www.cityofchicago.org/specialevents,,,,,50 W. Washington St.,Chicago,Cook,Illinois,60602,,,,,,,,,-87.626,41.8851,,N,N,N,N,N,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009,2009-01-01 00:00:00,2009,"50 W. Washington St., Chicago, Illinois 60602",41.88418555,-87.63018799018946,41.88418555,-87.63018799018946
1774,1012749,Dallas Farmers Market,http://www.dallasfarmersmarket.org,https://www.facebook.com/DFMDallasFarmersMarket/,https://twitter.com/dallasfarmer,,https://www.instagram.com/dallasfarmersmarket/,920 S. Harwood Rd.,Dallas,Dallas,Texas,75201,01/01/2016 to ,Fri: 10:00 AM-5:00 PM;Sat: 8:00 AM-5:00 PM;Sun: 10:00 AM-5:00 PM;,01/01/2016 to 12/31/2016,Mon: 10:00 AM-6:00 PM;Tue: 10:00 AM-6:00 PM;Wed: 10:00 AM-6:00 PM;Thu: 10:00 AM-6:00 PM;Fri: 10:00 AM-6:00 PM;Sat: 10:00 AM-6:00 PM;Sun: 10:00 AM-6:00 PM;,,,,,-96.789378,32.777649,,Y,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,N,Y,Y,Y,Y,Y,N,Y,Y,N,Y,Y,Y,Y,N,N,N,8/2/16 11:58,2016-08-02 11:58:00,2016,"920 S. Harwood Rd., Dallas, Texas 75201",,,32.777649,-96.789378
1775,1002514,Dallas Farmers' Market,,,,,,236 West Dallas Street,Dallas,Barron,Wisconsin,54733,07/05/2013 to 09/27/2013,Fri: 4:00 PM-8:00 PM;,,,,,,,-91.817679,45.258833,Other,N,N,N,N,N,-,N,N,Y,Y,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,Y,N,N,N,N,N,N,4/23/14 17:32,2014-04-23 17:32:00,2014,"236 West Dallas Street, Dallas, Wisconsin 54733",45.25904890625,-91.81812393749999,45.25904890625,-91.81812393749999
1776,1002739,Daly City Certified Farmers' Market at Serramonte Center,http://www.cafarmersmkts.com/markets/category/daly-city,https://www.Facebook.com/DCFarmersMkt,https://twitter.com/cafarmersmkts,,http://www.pinterest.com/cafarmersmkts/,Hwy 280 and Serramonte Blvd.,Daly City,San Mateo,California,94015,01/01/2016 to 12/31/2016,Thu: 9:00 AM-1:00 PM;,01/01/2014 to 12/01/2014,Sat: 9:00 AM-1:00 PM;,,,,,-122.47041000000002,37.674302000000004,,Y,Y,N,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,N,Y,N,Y,Y,N,Y,N,Y,N,N,Y,Y,Y,Y,Y,N,N,N,7/20/16 17:34,2016-07-20 17:34:00,2016,"Hwy 280 and Serramonte Blvd., Daly City, California 94015",,,37.674302000000004,-122.47041000000002
